X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension
101.254522037,0.93538804,42.183,,,,A-E-350M-OPE 1,A-E-350M-OPE 1,A-E-350M-OPE 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254713982,0.935507985,39.54,,,,A-E-350M-OPE 2,A-E-350M-OPE 2,A-E-350M-OPE 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254542992,0.935721975,42.664,,,,A-E-350M-OPE 3,A-E-350M-OPE 3,A-E-350M-OPE 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25458004,0.935517037,40.982,,,,A-E-350M-OPedg,A-E-350M-OPedg,A-E-350M-OPedg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254392033,0.935584009,40.982,,,,A-E-350M-OPEve,A-E-350M-OPEve,A-E-350M-OPEve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25293199,0.936248023,41.462,,,,A-W-250M-BCv 1,A-W-250M-BCv 1,A-W-250M-BCv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252835011,0.936045013,40.261,,,,A-W-250M-BCv 2,A-W-250M-BCv 2,A-W-250M-BCv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253016982,0.935935965,40.02,,,,A-W-250M-BCv 3,A-W-250M-BCv 3,A-W-250M-BCv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253102981,0.936098993,38.098,,,,A-W-250M-BCveg,A-W-250M-BCveg,A-W-250M-BCveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252797963,0.936164958,43.625,,,,A-W-250M-Buf 1,A-W-250M-Buf 1,A-W-250M-Buf 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25296996,0.936079966,35.935,,,,A-W-250M-Buffe,A-W-250M-Buffe,A-W-250M-Buffe,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251689959,0.936758984,53.959,,,,A-W-250M-OPC 1,A-W-250M-OPC 1,A-W-250M-OPC 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251422996,0.936638033,56.363,,,,A-W-250M-OPC 2,A-W-250M-OPC 2,A-W-250M-OPC 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251507988,0.936842971,56.122,,,,A-W-250M-OPC 3,A-W-250M-OPC 3,A-W-250M-OPC 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251545036,0.936713973,53.479,,,,A-W-250M-OPcor,A-W-250M-OPcor,A-W-250M-OPcor,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25161997,0.93659604,54.2,,,,A-W-250M-OPCve,A-W-250M-OPCve,A-W-250M-OPCve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252407031,0.936213993,45.548,,,,A-W-250M-OPE 1,A-W-250M-OPE 1,A-W-250M-OPE 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252488,0.936463019,46.029,,,,A-W-250M-OPE 2,A-W-250M-OPE 2,A-W-250M-OPE 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252683969,0.936337039,45.067,,,,A-W-250M-OPE 3,A-W-250M-OPE 3,A-W-250M-OPE 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252572993,0.936230002,44.827,,,,A-W-250M-OPedg,A-W-250M-OPedg,A-W-250M-OPedg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252615992,0.936121959,43.865,,,,A-W-250M-OPEve,A-W-250M-OPEve,A-W-250M-OPEve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251698006,0.93456896,68.379,,,,A-W-50M-BCveg1,A-W-50M-BCveg1,A-W-50M-BCveg1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251827003,0.934792003,43.145,,,,A-W-50M-BCveg2,A-W-50M-BCveg2,A-W-50M-BCveg2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251615025,0.934856962,35.694,,,,A-W-50M-BCveg3,A-W-50M-BCveg3,A-W-50M-BCveg3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251554005,0.934626963,35.454,,,,A-W-50M-BCveg4,A-W-50M-BCveg4,A-W-50M-BCveg4,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251496002,0.934792003,39.299,,,,A-W-50M-Buff 1,A-W-50M-Buff 1,A-W-50M-Buff 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251675962,0.934701981,34.493,,,,A-W-50M-Buffer,A-W-50M-Buffer,A-W-50M-Buffer,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.250492521,0.935177654,,,,,A-W-50m-OPcore,A-W-50m-OPcore,A-W-50m-OPcore,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.250670971,0.935278991,48.672,,,,A-W-50M-OPCv 1,A-W-50M-OPCv 1,A-W-50M-OPCv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.250365032,0.935133984,53.479,,,,A-W-50M-OPCv 2,A-W-50M-OPCv 2,A-W-50M-OPCv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.250459999,0.935332971,51.556,,,,A-W-50M-OPCv 3,A-W-50M-OPCv 3,A-W-50M-OPCv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.250563012,0.935094003,46.269,,,,A-W-50M-OPCveg,A-W-50M-OPCveg,A-W-50M-OPCveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251246976,0.934908008,41.222,,,,A-W-50M-OPedge,A-W-50M-OPedge,A-W-50M-OPedge,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251178999,0.935024014,42.424,,,,A-W-50M-OPEv 1,A-W-50M-OPEv 1,A-W-50M-OPEv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251114961,0.934826033,42.424,,,,A-W-50M-OPEv 2,A-W-50M-OPEv 2,A-W-50M-OPEv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251303973,0.934751015,41.703,,,,A-W-50M-OPEv 3,A-W-50M-OPEv 3,A-W-50M-OPEv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.251363987,0.934959976,41.222,,,,A-W-50M-OPEveg,A-W-50M-OPEveg,A-W-50M-OPEveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.278478941,0.949286493,49.874,,,,A01,14-11-16 10:38:33AM,14-11-16 10:38:33AM,,,,,,,,"Navaid, Green",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.278678933,0.95076967,31.609,,,,A02,14-11-16 10:43:25AM,14-11-16 10:43:25AM,,,,,,,,"Navaid, Green",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255016988,0.937528023,40.501,,,,B-E-150M-BCv 1,B-E-150M-BCv 1,B-E-150M-BCv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25521698,0.937445965,41.462,,,,B-E-150M-BCv 2,B-E-150M-BCv 2,B-E-150M-BCv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255314965,0.937617039,41.222,,,,B-E-150M-BCv 3,B-E-150M-BCv 3,B-E-150M-BCv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255098041,0.93772701,40.741,,,,B-E-150M-BCveg,B-E-150M-BCveg,B-E-150M-BCveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255366011,0.93746298,41.222,,,,B-E-150M-Buf 1,B-E-150M-Buf 1,B-E-150M-Buf 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255121008,0.937631037,32.089,,,,B-E-150M-Buffe,B-E-150M-Buffe,B-E-150M-Buffe,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256459011,0.937161986,55.882,,,,B-E-150M-OPC 1,B-E-150M-OPC 1,B-E-150M-OPC 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256655985,0.937120998,56.363,,,,B-E-150M-OPC 2,B-E-150M-OPC 2,B-E-150M-OPC 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256631007,0.936886976,56.603,,,,B-E-150M-OPC 3,B-E-150M-OPC 3,B-E-150M-OPC 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256534196,0.937089734,,,,,B-E-150m-OPcor,B-E-150m-OPcor,B-E-150m-OPcor,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256378964,0.936990995,55.642,,,,B-E-150M-OPCve,B-E-150M-OPCve,B-E-150M-OPCve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255669016,0.937257037,40.741,,,,B-E-150M-OPE 1,B-E-150M-OPE 1,B-E-150M-OPE 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255478999,0.937327025,40.261,,,,B-E-150M-OPE 2,B-E-150M-OPE 2,B-E-150M-OPE 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255556028,0.93755099,40.982,,,,B-E-150M-OPE 3,B-E-150M-OPE 3,B-E-150M-OPE 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
