X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
101.280834759,0.949465111,"1","0","33",41.474,2016/11/15 01:57:24+00,,,,,,,,,,,,,,,,,,,,,
101.280834842,0.949465195,"1","0","34",49.645,2016/11/15 01:57:25+00,,,,,,,,,,,,,,,,,,,,,
101.280834926,0.949465279,"1","0","35",44.358,2016/11/15 01:57:26+00,,,,,,,,,,,,,,,,,,,,,
101.280836267,0.949468464,"1","0","36",42.916,2016/11/15 01:57:57+00,,,,,,,,,,,,,,,,,,,,,
101.280836351,0.949468631,"1","0","37",47.242,2016/11/15 01:57:59+00,,,,,,,,,,,,,,,,,,,,,
101.280836351,0.949468715,"1","0","38",46.281,2016/11/15 01:58:00+00,,,,,,,,,,,,,,,,,,,,,
101.280837189,0.949469218,"1","0","39",41.474,2016/11/15 01:58:20+00,,,,,,,,,,,,,,,,,,,,,
101.280837189,0.949469302,"1","0","40",46.281,2016/11/15 01:58:21+00,,,,,,,,,,,,,,,,,,,,,
101.280837357,0.949469218,"1","0","41",45.319,2016/11/15 01:58:25+00,,,,,,,,,,,,,,,,,,,,,
101.280865772,0.949473325,"1","0","42",45.319,2016/11/15 01:58:49+00,,,,,,,,,,,,,,,,,,,,,
101.280848421,0.949482126,"1","0","43",45.319,2016/11/15 01:59:27+00,,,,,,,,,,,,,,,,,,,,,
101.280849008,0.949482713,"1","0","44",44.839,2016/11/15 01:59:49+00,,,,,,,,,,,,,,,,,,,,,
101.28059227,0.94864293,"2","0","0",52.529,2016/11/14 05:25:40+00,,,,,,,,,,,,,,,,,,,,,
101.280544326,0.9486234,"2","0","1",52.529,2016/11/14 05:25:57+00,,,,,,,,,,,,,,,,,,,,,
101.280122716,0.948689282,"2","0","2",53.01,2016/11/14 05:26:08+00,,,,,,,,,,,,,,,,,,,,,
101.280060774,0.948699173,"2","0","3",53.01,2016/11/14 05:26:09+00,,,,,,,,,,,,,,,,,,,,,
