timepoint,date,river,treatment,point,replicate,rainfall.mm,water+total.K.K2O.g,soil.C,soil.K.K2O,soil.N.NO3.NH4,soil.P.P2O5,water+total.N.NO3.NH4,water+total.P.P2O5,water+total.K.K2O.g
baseline,04/01/2018,PLPE,A,OP.edge,2,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,B,buffer.core,1,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,B,buffer.core,2,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,B,OP.edge,1,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,B,OP.edge,2,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,C,buffer.core,1,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,C,buffer.core,2,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,C,OP.edge,1,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,C,OP.edge,2,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,D,buffer.core,1,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,D,buffer.core,2,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,D,OP.edge,1,37.41,0,0,0,0,0,0,0,0
baseline,04/01/2018,PLPE,D,OP.edge,2,37.41,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,A,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,A,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,A,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,A,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,B,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,B,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,B,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,B,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,C,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,C,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,C,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,C,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,D,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,D,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,D,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,05/01/2018,PLPE,D,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,A,buffer.core,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,A,buffer.core,2,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,A,OP.edge,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,A,OP.edge,2,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,B,buffer.core,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,B,buffer.core,2,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,B,OP.edge,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,B,OP.edge,2,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,C,buffer.core,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,C,buffer.core,2,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,C,OP.edge,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,C,OP.edge,2,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,D,buffer.core,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,D,buffer.core,2,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,D,OP.edge,1,0.6,0,0,0,0,0,0,0,0
baseline,06/01/2018,PLPE,D,OP.edge,2,0.6,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,A,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,A,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,A,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,A,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,B,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,B,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,B,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,B,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,C,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,C,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,C,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,C,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,D,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,D,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,D,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,07/01/2018,PLPE,D,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,A,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,A,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,A,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,A,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,B,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,B,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,B,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,B,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,C,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,C,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,C,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,C,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,D,buffer.core,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,D,buffer.core,2,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,D,OP.edge,1,0.8,0,0,0,0,0,0,0,0
baseline,08/01/2018,PLPE,D,OP.edge,2,0.8,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,A,buffer.core,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,A,buffer.core,2,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,A,OP.edge,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,A,OP.edge,2,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,B,buffer.core,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,B,buffer.core,2,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,B,OP.edge,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,B,OP.edge,2,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,C,buffer.core,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,C,buffer.core,2,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,C,OP.edge,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,C,OP.edge,2,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,D,buffer.core,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,D,buffer.core,2,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,D,OP.edge,1,0.2,0,0,0,0,0,0,0,0
baseline,09/01/2018,PLPE,D,OP.edge,2,0.2,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,A,buffer.core,1,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,A,buffer.core,2,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,A,OP.edge,1,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,A,OP.edge,2,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,B,buffer.core,1,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,B,buffer.core,2,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,B,OP.edge,1,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,B,OP.edge,2,1.4,0,0,0,0,0,0,0,0
baseline,10/01/2018,PLPE,C,buffer.core,1,1.4,0,0,0,0,0,0,0,0
