timepoint,date.collected,river,treatment,side,transect,point,og.site.label,surveyors,,palm.name,palm.num,time,frond.length.cm,.whole.palm.herbivory,.cut.frond.herbivory,level.0,level.1,level.2,level.3,area.original,area.filled,herbivory
post1,26/01/2021,KNDE,I,East,150m,OP.core,I-E-150-OPC,"Agung, Wira, aji",,88,,09:07,134,70,50,0,1,2,17,NA,NA,NA
post1,26/01/2021,KNDE,I,East,150m,OP.core,I-E-150-OPC,"Agung, Wira, aji",,91,,09:14,159,50,20,0,19,0,1,NA,NA,NA
post1,26/01/2021,KNDE,H,East,350m,OP.core,H-E-350-OPC,"Agung, Wira, aji",,70,,09:38,136,20,5,2,16,2,0,NA,NA,NA
post1,26/01/2021,KNDE,H,East,350m,OP.core,H-E-350-OPC,"Agung, Wira, aji",,79,,09:44,132,10,10,1,14,2,3,NA,NA,NA
post1,26/01/2021,KNDE,H,East,350m,OP.core,H-E-350-OPC,"Agung, Wira, aji",,74,,09:50,115,15,25,0,1,6,13,NA,NA,NA
post1,26/01/2021,KNDE,I,East,150m,OP.edge,I-E-150-OPE,"Agung, Wira, aji",,99,,08:39,187,5,15,0,15,5,0,NA,NA,NA
post1,26/01/2021,KNDE,I,East,150m,OP.edge,I-E-150-OPE,"Agung, Wira, aji",,101,,08:47,111,5,10,4,16,0,0,NA,NA,NA
post1,26/01/2021,KNDE,I,East,150m,OP.edge,I-E-150-OPE,"Agung, Wira, aji",,96,,08:55,184,15,10,2,14,3,0,NA,NA,NA
post1,26/01/2021,KNDE,H,East,350m,OP.edge,H-E-350-OPE,"Agung, Wira, aji",,82,,09:59,157,5,5,7,13,0,0,NA,NA,NA
post1,26/01/2021,KNDE,H,East,350m,OP.edge,H-E-350-OPE,"Agung, Wira, aji",,082A,,10:06,153,5,5,3,15,2,0,NA,NA,NA
post1,26/01/2021,KNDE,H,East,350m,OP.edge,H-E-350-OPE,"Agung, Wira, aji",,082B,,10:12,181,5,5,5,12,3,0,NA,NA,NA
post1,26/01/2021,KNDE,I,East,150m,buffer.core,IE 150 BC,"Agung, wira, sulinji",,,103/116,08:25,,5,5,7,11,1,1,,,
post1,26/01/2021,KNDE,I,East,150m,buffer.core,IE 150 BC,"Agung, wira, sulinji",,,108/82,08:30,,5,5,3,16,1,0,,,
post1,26/01/2021,KNDE,I,East,150m,buffer.core,IE 150 BC,"Agung, wira, sulinji",,,106/79,08:35,,5,5,13,6,1,0,,,
post1,26/01/2021,KNDE,I,East,150m,OP.core,IE 150 OPC,"Agung, wira, sulinji",,,089/197,09:01,,30,20,0,11,9,9,,,
post1,26/01/2021,KNDE,I,East,150m,OP.core,IE 150 OPC,"Agung, wira, sulinji",,,088/134,09:07,,70,50,0,1,2,2,,,
post1,26/01/2021,KNDE,I,East,150m,OP.core,IE 150 OPC,"Agung, wira, sulinji",,,091/159,09:14,,50,20,0,19,0,0,,,
post1,26/01/2021,KNDE,H,East,350m,OP.core,HE 350 OPC,"Agung, wira, sulinji",,,070/136,09:38,,20,5,2,16,2,0,,,
post1,26/01/2021,KNDE,H,East,350m,OP.core,HE 350 OPC,"Agung, wira, sulinji",,,079/132,09:44,,10,10,1,14,2,3,,,
post1,26/01/2021,KNDE,H,East,350m,OP.core,HE 350 OPC,"Agung, wira, sulinji",,,074/115,09:50,,15,25,0,1,6,13,,,
post1,26/01/2021,KNDE,I,East,150m,OP.edge,IE 150 OPE,"Agung, wira, sulinji",,,099/187,08:39,,5,15,0,15,5,0,,,
post1,26/01/2021,KNDE,I,East,150m,OP.edge,IE 150 OPE,"Agung, wira, sulinji",,,101/111,08:47,,5,10,4,16,0,0,,,
post1,26/01/2021,KNDE,I,East,150m,OP.edge,IE 150 OPE,"Agung, wira, sulinji",,,096/184,08:55,,15,10,2,14,3,0,,,
post1,26/01/2021,KNDE,H,East,350m,OP.edge,HE 350 OPE,"Agung, wira, sulinji",,,082/157,09:59,,5,5,7,13,0,0,,,
post1,26/01/2021,KNDE,H,East,350m,OP.edge,HE 350 OPE,"Agung, wira, sulinji",,,182A/153,10:06,,5,5,3,15,2,0,,,
post1,26/01/2021,KNDE,H,East,350m,OP.edge,HE 350 OPE,"Agung, wira, sulinji",,,0823/181,10:12,,5,5,5,12,3,0,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,buffer.core,FE 150 BC,"Agung, wira, sulinji",,,258/517,09:04,,5,5,14,5,1,0,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,buffer.core,FE 150 BC,"Agung, wira, sulinji",,,257/525,09:14,,5,5,5,11,1,3,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,buffer.core,FE 150 BC,"Agung, wira, sulinji",,,262/493,09:25,,10,5,9,11,0,0,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,OP.core,FE 150 OPC,"Agung, wira, sulinji",,,010A/209,10:07,,5,5,4,16,0,0,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,OP.core,FE 150 OPC,"Agung, wira, sulinji",,,010/147,10:13,,10,20,0,15,5,0,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,OP.core,FE 150 OPC,"Agung, wira, sulinji",,,013/183,10:18,,5,5,8,12,0,0,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,OP.edge,FE 150 OPE,"Agung, wira, sulinji",,,006/142,09:40,,10,20,1,11,6,2,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,OP.edge,FE 150 OPE,"Agung, wira, sulinji",,,004/123,09:47,,10,20,2,18,0,0,,,
interim.p1.p2,25/01/2022,KNDE,F,East,150m,OP.edge,FE 150 OPE,"Agung, wira, sulinji",,,008/207,09:52,,10,10,4,16,0,0,,,
post2,26/04/2022,PLPE,D,East,150m,buffer.core,D-150-BC,"Aji, Aby, Novra",X,147,,08:57,423,5,15,9,11,0,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,buffer.core,D-150-BC,"Aji, Aby, Novra",Y,153,,09:15,395,5,5,15,5,0,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,buffer.core,D-150-BC,"Aji, Aby, Novra",Z,150,,09:27,426,5,5,17,3,0,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,OP.core,D-150-OPC,"Aji, Aby, Novra",X,172,,10:29,470,15,15,10,10,0,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,OP.core,D-150-OPC,"Aji, Aby, Novra",Y,178,,10:43,436,10,10,13,7,0,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,OP.core,D-150-OPC,"Aji, Aby, Novra",Z,175,,11:00,427,10,10,14,6,0,0,NA,NA,NA
post2,26/04/2022,PLPE,C,East,350m,OP.core,C-350-OPC,"Aby, Aji, Novran",X,136,,11:35,491,10,10,10,10,0,0,NA,NA,NA
post2,26/04/2022,PLPE,C,East,350m,OP.core,C-350-OPC,"Aby, Aji, Novran",Y,143,,11:55,550,5,5,8,12,0,0,NA,NA,NA
post2,26/04/2022,PLPE,C,East,350m,OP.core,C-350-OPC,"Aby, Aji, Novran",Z,138,,11:23,515,10,10,11,9,0,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,OP.edge,D-150-OPE,"Aji, Aby, Novra",X,157,,09:43,500,10,10,18,1,1,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,OP.edge,D-150-OPE,"Aji, Aby, Novra",Y,163,,10:00,457,5,5,15,4,1,0,NA,NA,NA
post2,26/04/2022,PLPE,D,East,150m,OP.edge,D-150-OPE,"Aji, Aby, Novra",Z,160,,10:15,386,10,5,16,4,0,0,NA,NA,NA
post2,26/04/2022,PLPE,C,East,350m,OP.edge,C-E-350-OPE,"Aji, Aby, Novra",X,123,,08:19,466,5,5,17,3,0,0,NA,NA,NA
post2,26/04/2022,PLPE,C,East,350m,OP.edge,C-E-350-OPE,"Aji, Aby, Novra",Y,129,,08:30,472,5,5,15,5,0,0,NA,NA,NA
post2,26/04/2022,PLPE,C,East,350m,OP.edge,C-E-350-OPE,"Aji, Aby, Novra",Z,126,,08:43,514,5,5,15,5,0,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,buffer.core,B-50-BC,"Aby, Aji, Novran",X,279,,11:40,460,10,10,15,5,0,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,buffer.core,B-50-BC,"Aby, Aji, Novran",Y,277,,11:55,560,10,10,14,5,1,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,buffer.core,B-50-BC,"Aby, Aji, Novran",Z,273,,12:09,515,10,10,16,4,0,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,buffer.core,A-250-BC,"Aby, Aji, Novran",X,255,,10:29,463,15,15,15,4,1,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,buffer.core,A-250-BC,"Aby, Aji, Novran",Y,260,,10:42,550,10,10,10,9,0,1,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,buffer.core,A-250-BC,"Aby, Aji, Novran",Z,253,,10:15,530,10,10,12,7,0,1,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,OP.core,B-50-OPC,"Aby, Aji, Novran",X,277,,10:55,460,5,5,13,6,1,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,OP.core,B-50-OPC,"Aby, Aji, Novran",Y,283,,11:10,432,5,5,12,8,0,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,OP.core,B-50-OPC,"Aby, Aji, Novran",Z,280,,11:25,298,5,5,17,3,0,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,OP.core,A-250-OPC,"Aby, Aji, Novran",X,254,,08:37,436,10,10,8,12,0,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,OP.core,A-250-OPC,"Aby, Aji, Novran",Y,259,,08:52,420,10,15,6,13,1,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,OP.core,A-250-OPC,"Aby, Aji, Novran",Z,256,,09:10,400,10,10,7,13,0,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,OP.edge,B-50-OPE,"Aby, Aji, Novran",X,270,,12:22,444,5,5,17,3,0,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,OP.edge,B-50-OPE,"Aby, Aji, Novran",Y,272,,12:34,410,5,5,20,0,0,0,NA,NA,NA
post2,27/04/2022,PLPE,B,West,50m,OP.edge,B-50-OPE,"Aby, Aji, Novran",Z,268,,12:49,315,5,5,18,2,0,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,OP.edge,A-250-OPE,"Aby, Aji, Novran",X,249,,09:28,505,5,5,18,2,0,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,OP.edge,A-250-OPE,"Aby, Aji, Novran",Y,242,,09:58,492,5,5,16,4,0,0,NA,NA,NA
post2,27/04/2022,PLPE,A,West,250m,OP.edge,A-250-OPE,"Aby, Aji, Novran",Z,246,,09:42,455,5,5,14,5,1,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,buffer.core,D-350-BC,"Wira, Aby, Novran",X,182,,08:29,243,10,10,3,16,1,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,buffer.core,D-350-BC,"Wira, Aby, Novran",Y,188,,08:44,393,5,5,18,1,1,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,buffer.core,D-350-BC,"Wira, Aby, Novran",Z,184,,08:15,320,5,5,13,7,0,0,NA,NA,NA
post2,28/04/2022,PLPE,C,West,250m,OP.core,C-250-OPC,"Wira, Aby, Novran",X,351,,10:30,535,5,5,16,4,0,0,NA,NA,NA
post2,28/04/2022,PLPE,C,West,250m,OP.core,C-250-OPC,"Wira, Aby, Novran",Y,344,,10:58,529,5,5,13,7,0,0,NA,NA,NA
post2,28/04/2022,PLPE,C,West,250m,OP.core,C-250-OPC,"Wira, Aby, Novran",Z,354,,10:45,541,5,5,15,5,0,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,OP.core,D-350-OPC,"Wira, Aby, Novran",X,210,,10:15,482,5,5,14,6,0,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,OP.core,D-350-OPC,"Wira, Aby, Novran",Y,216,,09:45,465,5,5,18,2,0,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,OP.core,D-350-OPC,"Wira, Aby, Novran",Z,213,,10:00,462,5,5,16,4,0,0,NA,NA,NA
post2,28/04/2022,PLPE,C,West,250m,OP.edge,C-250-OPE,"Wira, Aby, Novran",X,339,,11:10,450,5,5,18,2,0,0,NA,NA,NA
post2,28/04/2022,PLPE,C,West,250m,OP.edge,C-250-OPE,"Wira, Aby, Novran",Y,345,,11:25,492,5,5,15,5,0,0,NA,NA,NA
post2,28/04/2022,PLPE,C,West,250m,OP.edge,C-250-OPE,"Wira, Aby, Novran",Z,340,,11:40,441,5,5,16,4,0,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,OP.edge,D-350-OPE,"Wira, Aby, Novran",X,193,,09:00,484,5,5,14,6,0,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,OP.edge,D-350-OPE,"Wira, Aby, Novran",Y,200,,09:15,449,5,5,7,9,4,0,NA,NA,NA
post2,28/04/2022,PLPE,D,East,350m,OP.edge,D-350-OPE,"Wira, Aby, Novran",Z,196,,09:30,387,5,5,10,10,0,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,buffer.core,A-50-BC,"Aby, Aji, Novran",X,1,,08:15,600,10,10,11,8,1,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,buffer.core,A-50-BC,"Aby, Aji, Novran",Y,2,,08:30,540,10,10,12,8,0,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,buffer.core,A-50-BC,"Aby, Aji, Novran",Z,3,,08:45,610,10,10,14,6,0,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,OP.core,A-50-OPC,"Aby, Aji, Novran",X,231,,09:38,450,5,5,14,6,0,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,OP.core,A-50-OPC,"Aby, Aji, Novran",Y,230,,09:51,310,5,5,8,12,0,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,OP.core,A-50-OPC,"Aby, Aji, Novran",Z,233,,10:08,280,10,10,7,13,0,0,NA,NA,NA
post2,29/04/2022,PLPE,C,West,50m,OP.core,C-50-OPC,"Aji, Memo, Aby, Novran",X,331,,11:00,485,5,10,9,11,0,0,NA,NA,NA
post2,29/04/2022,PLPE,C,West,50m,OP.core,C-50-OPC,"Aji, Memo, Aby, Novran",Y,329,,11:15,410,5,10,10,10,0,0,NA,NA,NA
post2,29/04/2022,PLPE,C,West,50m,OP.core,C-50-OPC,"Aji, Memo, Aby, Novran",Z,333,,11:30,509,10,5,15,5,0,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,OP.edge,A-50-OPE,"Aby, Aji, Novran",X,210,,09:10,440,10,10,6,14,0,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,OP.edge,A-50-OPE,"Aby, Aji, Novran",Y,224,,09:00,400,5,5,14,5,1,0,NA,NA,NA
post2,29/04/2022,PLPE,A,West,50m,OP.edge,A-50-OPE,"Aby, Aji, Novran",Z,220,,09:24,490,5,5,16,4,0,0,NA,NA,NA
post2,29/04/2022,PLPE,C,West,50m,OP.edge,C-50-OPE,"Aji, Memo, Aby, Novran",X,321,,10:45,492,5,5,15,5,0,0,NA,NA,NA
post2,29/04/2022,PLPE,C,West,50m,OP.edge,C-50-OPE,"Aji, Memo, Aby, Novran",Y,315,,10:32,420,5,5,9,11,0,0,NA,NA,NA
post2,29/04/2022,PLPE,C,West,50m,OP.edge,C-50-OPE,"Aji, Memo, Aby, Novran",Z,318,,10:20,432,5,5,16,4,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,buffer.core,D-250-BC,"Aji, Memo, Aby, Novran",X,487,,08:42,480,5,5,17,3,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,buffer.core,D-250-BC,"Aji, Memo, Aby, Novran",Y,486,,08:56,460,5,5,14,6,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,buffer.core,D-250-BC,"Aji, Memo, Aby, Novran",Z,480,,09:10,420,5,5,13,7,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,OP.core,D-250-OPC,"Aji, Memo, Aby, Novran",X,426,,09:14,410,5,5,10,10,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,OP.core,D-250-OPC,"Aji, Memo, Aby, Novran",Y,432,,09:39,430,5,5,15,5,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,OP.core,D-250-OPC,"Aji, Memo, Aby, Novran",Z,428,,09:28,400,10,5,12,8,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,OP.edge,D-250-OPE,"Aji, Memo, Aby, Novran",X,412,,08:36,440,5,5,12,6,2,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,OP.edge,D-250-OPE,"Aji, Memo, Aby, Novran",Y,402,,08:24,450,5,5,11,9,0,0,NA,NA,NA
post2,30/04/2022,PLPE,D,West,250m,OP.edge,D-250-OPE,"Aji, Memo, Aby, Novran",Z,409,,08:10,310,10,5,18,2,0,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,buffer.core,B-250-BC,"Aby, Aji, Wira, Memo",X,309,,10:30,533,10,10,10,10,0,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,buffer.core,B-250-BC,"Aby, Aji, Wira, Memo",Y,308,,10:50,570,10,10,10,7,0,3,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,buffer.core,B-250-BC,"Aby, Aji, Wira, Memo",Z,306,,10:10,513,10,10,14,6,0,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,OP.core,B-250-OPC,"Aby, Aji, Wira, Memo",X,310,,09:15,490,5,5,13,7,0,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,OP.core,B-250-OPC,"Aby, Aji, Wira, Memo",Y,301,,09:30,410,5,5,11,9,0,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,OP.core,B-250-OPC,"Aby, Aji, Wira, Memo",Z,304,,09:50,510,10,10,6,14,0,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,OP.edge,B-250-OPE,"Aby, Aji, Wira, Memo",X,300,,08:20,520,10,10,6,14,0,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,OP.edge,B-250-OPE,"Aby, Aji, Wira, Memo",Y,291,,08:40,550,10,10,8,11,1,0,NA,NA,NA
post2,05/05/2022,PLPE,B,West,250m,OP.edge,B-250-OPE,"Aby, Aji, Wira, Memo",Z,292,,08:57,560,10,10,10,10,0,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,buffer.core,A-350-BC,"Rohman, Aby, Aji, Wira",X,37,,10:52,520,15,10,15,3,1,1,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,buffer.core,A-350-BC,"Rohman, Aby, Aji, Wira",Y,42,,10:35,540,5,5,17,3,0,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,buffer.core,A-350-BC,"Rohman, Aby, Aji, Wira",Z,39,,10:20,350,5,5,15,5,0,0,NA,NA,NA
post2,07/05/2022,PLPE,C,East,150m,OP.core,C-150-OPC,"Rohman, Aby, Aji, Wira",X,116,,09:28,448,5,10,9,9,1,1,NA,NA,NA
post2,07/05/2022,PLPE,C,East,150m,OP.core,C-150-OPC,"Rohman, Aby, Aji, Wira",X,116,,09:28,448,5,10,9,9,1,1,NA,NA,NA
post2,07/05/2022,PLPE,C,East,150m,OP.core,C-150-OPC,"Rohman, Aby, Aji, Wira",Y,112,,09:14,561,5,10,3,17,0,0,NA,NA,NA
post2,07/05/2022,PLPE,C,East,150m,OP.core,C-150-OPC,"Rohman, Aby, Aji, Wira",Z,115,,09:00,420,5,10,8,12,0,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,OP.core,A-350-OPC,"Rohman, Aby, Aji, Wira",X,32,,11:25,430,5,5,10,8,2,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,OP.core,A-350-OPC,"Rohman, Aby, Aji, Wira",Y,30,,11:45,424,5,5,16,4,0,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,OP.core,A-350-OPC,"Rohman, Aby, Aji, Wira",Z,44,,11:10,442,5,5,10,8,2,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,OP.core,A-350-OPC,"Rohman, Aby, Aji, Wira",X,40,,08:25,540,5,5,14,6,0,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,OP.core,A-350-OPC,"Rohman, Aby, Aji, Wira",Y,44,,08:40,499,5,5,12,8,0,0,NA,NA,NA
post2,07/05/2022,PLPE,A,East,350m,OP.core,A-350-OPC,"Rohman, Aby, Aji, Wira",Z,42,,08:10,460,5,5,12,8,0,0,NA,NA,NA
post2,07/05/2022,PLPE,C,East,150m,OP.edge,C-150-OPE,"Rohman, Aby, Aji, Wira",X,107,,09:55,540,5,5,14,6,0,0,NA,NA,NA
post2,07/05/2022,PLPE,C,East,150m,OP.edge,C-150-OPE,"Rohman, Aby, Aji, Wira",Y,101,,10:10,470,5,5,17,3,0,0,NA,NA,NA
post2,07/05/2022,PLPE,C,East,150m,OP.edge,C-150-OPE,"Rohman, Aby, Aji, Wira",Z,104,,09:40,460,5,5,4,16,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,buffer.core,D-50-BC,"Memo, Aby, Aji",X,364,,11:24,472,5,5,16,4,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,buffer.core,D-50-BC,"Memo, Aby, Aji",Y,371,,11:37,480,5,10,11,9,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,buffer.core,D-50-BC,"Memo, Aby, Aji",Z,367,,11:10,440,5,5,16,4,0,0,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,buffer.core,A-150-BC,"Memo, Aby, Aji",X,22,,08:45,580,10,10,14,3,0,3,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,buffer.core,A-150-BC,"Memo, Aby, Aji",Y,25,,09:00,610,10,10,14,2,1,2,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,buffer.core,A-150-BC,"Memo, Aby, Aji",Z,23,,09:17,610,10,10,14,6,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,OP.core,D-50-OPC,"Memo, Aby, Aji",X,398,,12:52,280,5,10,10,10,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,OP.core,D-50-OPC,"Memo, Aby, Aji",Y,393,,12:38,400,5,5,15,4,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,OP.core,D-50-OPC,"Memo, Aby, Aji",Z,391,,13:10,380,5,5,15,5,0,0,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,OP.core,A-150-OPC,"Memo, Aby, Aji",X,17,,10:27,420,10,10,7,13,0,0,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,OP.core,A-150-OPC,"Memo, Aby, Aji",Y,23,,10:42,400,10,10,9,11,0,0,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,OP.core,A-150-OPC,"Memo, Aby, Aji",Z,20,,10:55,417,10,10,10,7,0,3,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,OP.edge,D-50-OPE,"Memo, Aby, Aji",X,375,,12:10,430,10,10,10,10,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,OP.edge,D-50-OPE,"Memo, Aby, Aji",Y,373,,11:52,430,10,10,10,10,0,0,NA,NA,NA
post2,09/05/2022,PLPE,D,West,50m,OP.edge,D-50-OPE,"Memo, Aby, Aji",Z,376,,12:25,410,5,5,16,4,0,0,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,OP.edge,A-150-OPE,"Memo, Aby, Aji",X,6,,09:34,480,5,5,19,1,0,0,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,OP.edge,A-150-OPE,"Memo, Aby, Aji",Y,11,,09:49,420,5,5,19,1,0,0,NA,NA,NA
post2,09/05/2022,PLPE,A,East,150m,OP.edge,A-150-OPE,"Memo, Aby, Aji",Z,4,,10:05,340,5,5,17,3,0,0,NA,NA,NA
post2,13/05/2022,PLPE,B,East,150m,buffer.core,B-150-BC,"Memo, Aby, Aji",X,66,,08:05,560,10,10,15,5,0,0,NA,NA,NA
post2,13/05/2022,PLPE,B,East,150m,buffer.core,B-150-BC,"Memo, Aby, Aji",Y,71,,08:20,573,5,5,11,9,0,0,NA,NA,NA
post2,13/05/2022,PLPE,B,East,150m,buffer.core,B-150-BC,"Memo, Aby, Aji",Z,69,,08:35,555,5,5,18,2,0,0,NA,NA,NA
post2,13/05/2022,PLPE,B,East,350m,buffer.core,B-350-BC,"Memo, Aby, Aji",X,92,,09:00,524,10,10,10,8,0,2,NA,NA,NA
post2,13/05/2022,PLPE,B,East,350m,buffer.core,B-350-BC,"Memo, Aby, Aji",Y,93,,09:15,536,10,5,12,7,1,0,NA,NA,NA
post2,13/05/2022,PLPE,B,East,350m,buffer.core,B-350-BC,"Memo, Aby, Aji",Z,95,,09:30,507,10,10,5,12,1,2,NA,NA,NA
post2,14/05/2022,PLPE,B,East,150m,OP.core,B-150-OPC,,X,67,,11:10,400,5,5,13,7,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,150m,OP.core,B-150-OPC,,Y,61,,10:50,420,5,5,13,6,1,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,150m,OP.core,B-150-OPC,,Z,64,,10:35,450,5,5,14,6,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,350m,OP.core,B-350-OPC,,X,94,,08:05,506,5,5,12,8,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,350m,OP.core,B-350-OPC,,Y,88,,08:20,467,5,5,13,7,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,350m,OP.core,B-350-OPC,,Z,91,,08:35,624,5,5,12,8,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,150m,OP.edge,B-150-OPE,,X,56,,10:05,282,5,5,17,3,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,150m,OP.edge,B-150-OPE,,Y,51,,10:20,517,5,5,18,2,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,150m,OP.edge,B-150-OPE,,Z,54,,09:45,380,5,5,12,7,0,1,NA,NA,NA
post2,14/05/2022,PLPE,B,East,350m,OP.edge,B-350-OPE,,X,71,,09:10,340,5,5,17,3,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,350m,OP.edge,B-350-OPE,,Y,79,,09:25,410,5,5,14,6,0,0,NA,NA,NA
post2,14/05/2022,PLPE,B,East,350m,OP.edge,B-350-OPE,,Z,78,,08:50,348,5,5,12,8,0,0,NA,NA,NA
interim.p1.p2,30/08/2022,KNDE,H,East,350m,OP.core,H 350 OPC,"Ari, llis, Hohmann",,Y,139/440,09:05,,10,5,8,9,2,1,,,
interim.p1.p2,30/08/2022,KNDE,H,East,350m,OP.core,H 350 OPC,"Ari, llis, Hohmann",,Z,139/405,09:18,,5,5,8,9,3,0,,,
interim.p1.p2,30/08/2022,KNDE,H,East,350m,OP.core,H 350 OPC,"Ari, llis, Hohmann",,X,141/590,09:30,,5,5,6,13,1,0,,,
