timepoint,date.collected,river,treatment,side,transect,point,og.site.label,time.collected,wet.weight.g,dry.weight.g,date.measured,notes,measurer,typist,date.typed,Checked by?,Date checked?
baseline,07/12/2017,PLPE,A,West,50m,buffer.core,A-West-50m-BufferCore,08:24,547,119,08/12/2017,Date Wet weight = 09/12/2018,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,A,West,50m,buffer.core,A-W-50-BC,08:40,555,117,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,A,West,50m,buffer.core,A-W-50-BC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,A,West,50m,OP.core,A-West-50m-OpCore,08:39,26,11,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,A,West,50m,OP.core,A-W-50-OPC,08:59,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,A,West,50m,OP.core,A-W-50-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,A,West,50m,OP.edge,A-West-50m-OpEdge,08:30,211,51,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,A,West,50m,OP.edge,A-W-50-OPE,08:45,481,89,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,A,West,50m,OP.edge,A-W-50-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,West,150m,buffer.core,B-west-150m-BufferCore,16:45,253,61,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,B,East,150m,buffer.core,B-E-150-BC,11:05,490,95,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,B,East,150m,buffer.core,B-E-150-BC,,297,55,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,East,150m,OP.core,B-East-150m-OpCore,17:05,498,168,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,B,East,150m,OP.core,B-E-150-OPC,11:35,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,B,East,150m,OP.core,B-E-150-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,East,150m,OP.edge,B-East-150m-OpEdge,16:58,242,58,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,B,East,150m,OP.edge,B-E-150-OPE,11:09,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,B,East,150m,OP.edge,B-E-150-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,B,West,250m,buffer.core,B-West-250m-BufferCore,10:19,127,35,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,B,West,250m,buffer.core,B-W-250-BC,10:12,231,55,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,B,West,250m,buffer.core,B-W-250-BC,,212,49,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,B,West,250m,OP.core,B-West-250m-OpCore,10:27,123,42,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,B,West,250m,OP.core,B-W-250-OPC,10:30,614,168,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,B,West,250m,OP.core,B-W-250-OPC,,650,124,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,B,West,250m,OP.edge,B-West-250m-OpEdge,10:23,431,115,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,B,West,250m,OP.edge,B-W-250-OPE,10:16,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,B,West,250m,OP.edge,B-W-250-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,B,East,350m,buffer.core,B-East-350m-BufferCore,16:25,308,67,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,B,East,350m,buffer.core,B-E-350-BC,08:48,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,B,East,350m,buffer.core,B-E-350-BC,,596,120,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,B,East,350m,OP.core,B-East-350m-OpCore,16:14,410,123,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,B,East,350m,OP.core,B-E-350-OPC,10:18,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,B,East,350m,OP.core,B-E-350-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,B,East,350m,OP.edge,B-East-350m-OpEdge,16:20,248,63,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,B,East,350m,OP.edge,B-E-350-OPE,08:55,512,125,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,B,East,350m,OP.edge,B-E-350-OPE,,258,97,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,West,400m,buffer.core,B-West-400m-BufferCore,17:20,648,109,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,B,West,400m,buffer.core,B-W-400-BC,10:27,637,144,03/01/2020,,Rohman,Agung,06/03/2023,,
