timepoint,date.collected,river,treatment,side,transect,point,og.site.label,time.collected,wet.weight.g,dry.weight.g,date.measured,notes,measurer,typist,date.typed,Checked by?,Date checked?
baseline,14/12/2018,KNDE,F,East,150m,OP.edge,F-East-150m-OpEdge,9.3,377,78,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,F,East,150m,OP.edge,F-E-150-OPE,,348,112,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,F,East,150m,OP.edge,FE 150 OPE,09:54,602,180,30/05/2023,,roman,,,,
baseline,13/12/2018,KNDE,F,West,250m,buffer.core,F-West-250m-BufferCore,9.2,211,64,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,F,West,250m,buffer.core,F-W-250-BC,,595,116,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,F,West,250m,buffer.core,FW 250 BC,08:47,547,148,27/05/2023,,roman,,,,
baseline,13/12/2018,KNDE,F,West,250m,OP.core,F-West-250m-OpCore,9.4,614,154,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,F,West,250m,OP.core,F-W-250-OPC,,594,126,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,F,West,250m,OP.core,FW 250 OPC,09:01,na,na,27/05/2023,gone,roman,,,,
baseline,13/12/2018,KNDE,F,West,250m,OP.edge,F-West-250m-OpEdge,9.3,603,134,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,F,West,250m,OP.edge,F-W-250-OPE,,616,130,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,F,West,250m,OP.edge,FW 250 OPE,08:54,na,na,27/05/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,F,East,350m,buffer.core,F-East-350m-BufferCore,11.04,638,151,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,F,East,350m,buffer.core,F-E-350-BC,,579,147,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,F,East,350m,buffer.core,FE 350 BC,10:29,na,na,20/04/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,F,East,350m,OP.core,F-East-350m-OpCore,11.2,207,71,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,F,East,350m,OP.core,F-E-350-OPC,,570,126,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,F,East,350m,OP.core,FE 350 OPC,10:43,na,na,20/04/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,F,East,350m,OP.edge,F-East-350m-OpEdge,11.1,678,141,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,F,East,350m,OP.edge,F-E-350-OPE,,545,117,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,F,East,350m,OP.edge,FE 350 OPE,10:35,na,na,20/04/2023,gone,roman,,,,
baseline,08/12/2018,KNDE,f,West,400m,buffer.core,f-West-400m-BufferCore,10.14,675,115,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,F,West,400m,buffer.core,F-W-400-BC,,657,120,01/04/2021,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,08/12/2018,KNDE,f,West,400m,OP.core,f-West-400m-OpCore,10.24,660,105,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,F,West,400m,OP.core,F-W-400-OPC,,669,132,01/04/2021,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,08/12/2018,KNDE,f,West,400m,OP.edge,f-West-400m-OpEdge,10.17,671,109,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,F,West,400m,OP.edge,F-W-400-OPE,,635,130,01/04/2021,Evaporation control,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,F,West,40m,buffer.core,FW 400 BC,10:25,618,110,30/05/2023,,roman,,,,
post2,22/05/2023,KNDE,F,West,40m,OP.core,FW 400 OPC,10:40,659,111,30/05/2023,,roman,,,,
post2,22/05/2023,KNDE,F,West,40m,OP.edge,FW 400 OPE,10:31,627,101,30/05/2023,,roman,,,,
baseline,08/12/2018,KNDE,f,West,50m,buffer.core,f-West-50m-BufferCore,10.07,260,75,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,F,West,50m,buffer.core,F-W-50-BC,,na,na,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,F,West,50m,buffer.core,FW 50 BC,09:10,402,124,14/04/2023,,roman,,,,
baseline,08/12/2018,KNDE,f,West,50m,OP.core,f-West-50m-OpCore,9.54,641,107,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,F,West,50m,OP.core,F-W-50-OPC,,na,na,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,F,West,50m,OP.core,FW 50 OPC,09:22,344,109,14/04/2023,,roman,,,,
baseline,08/12/2018,KNDE,f,West,50m,OP.edge,f-West-50m-OpEdge,10.01,203,47,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,F,West,50m,OP.edge,F-W-50-OPE,,479,104,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,F,West,50m,OP.edge,FW 50 OPE,09:15,na,na,14/04/2023,gone,roman,,,,
baseline,13/12/2018,KNDE,G,East,150m,buffer.core,G-East-150m-BufferCore,9.51,642,128,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,G,East,150m,buffer.core,G-E-150-BC,,323,98,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,G,East,150m,buffer.core,GE 150 BC,09:35,na,na,14/04/2023,gone,roman,,,,
baseline,13/12/2018,KNDE,G,East,150m,OP.core,G-East-150m-OpCore,9.09,174,52,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,G,East,150m,OP.core,G-E-150-OPC,,135,45,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,G,East,150m,OP.core,GE 150 OPC,09:47,na,na,14/04/2023,gone,roman,,,,
baseline,13/12/2018,KNDE,G,East,150m,OP.edge,G-East-150m-OpEdge,9.59,434,115,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,G,East,150m,OP.edge,G-E-150-OPE,,621,140,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,G,East,150m,OP.edge,GE 150 OPE,09:39,414,109,14/04/2023,,roman,,,,
baseline,08/12/2018,KNDE,G,West,250m,buffer.core,G-West-250m-BufferCore,9.4,81,26,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,G,West,250m,buffer.core,G-W-250-BC,,210,67,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,G,West,250m,buffer.core,GW 250 BC,09:52,na,na,20/04/2023,gone,roman,,,,
baseline,08/12/2018,KNDE,G,West,250m,OP.core,G-West-250m-OpCore,9.3,367,76,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,G,West,250m,OP.core,G-W-250-OPC,,na,na,07/04/2021,gone,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,G,West,250m,OP.core,GW 250 OPC,10:08,na,na,20/04/2023,gone,roman,,,,
baseline,08/12/2018,KNDE,G,West,250m,OP.edge,G-West-250m-OpEdge,9.36,490,110,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,G,West,250m,OP.edge,G-W-250-OPE,,437,125,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,G,West,250m,OP.edge,GW 250 OPE,09:57,365,109,20/04/2023,,roman,,,,
baseline,10/12/2018,KNDE,G,East,350m,buffer.core,G-East-350m-BufferCore,10.45,485,95,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,G,East,350m,buffer.core,G-E-350-BC,,518,116,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,G,East,350m,buffer.core,GE 350 BC,09:20,na,na,27/05/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,G,East,350m,OP.core,G-East-350m-OpCore,11,180,38,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,G,East,350m,OP.core,G-E-350-OPC,,545,130,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,G,East,350m,OP.core,GE 350 OPC,09:33,na,na,27/05/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,G,East,350m,OP.edge,G-East-350m-OpEdge,10.5,629,125,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,G,East,350m,OP.edge,G-E-350-OPE,,551,129,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,G,East,350m,OP.edge,GE 350 OPE,09:24,na,na,27/05/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,G,East,400m,buffer.core,G-East-400m-BufferCore,10.18,685,123,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,G,East,400m,buffer.core,G-E-400-BC,,548,100,19/03/2021,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,10/12/2018,KNDE,G,East,400m,OP.core,G-East-400m-OpCore,10.32,664,117,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,G,East,400m,OP.core,G-E-400-OPC,,635,129,19/03/2021,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,10/12/2018,KNDE,G,East,400m,OP.edge,G-East-400m-OpEdge,10.24,670,118,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,G,East,400m,OP.edge,G-E-400-OPE,,537,101,19/03/2021,Evaporation control,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,G,East,40m,buffer.core,GE 400 BC,10:03,615,112,14/04/2023,,roman,,,,
post2,06/04/2023,KNDE,G,East,40m,OP.core,GE 400 OPC,10:16,634,129,14/04/2023,,roman,,,,
post2,06/04/2023,KNDE,G,East,40m,OP.edge,GE 400 OPE,10:08,644,122,14/04/2023,,roman,,,,
baseline,14/12/2018,KNDE,G,West,50m,buffer.core,G-West-50m-BufferCore,9.1,272,76,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,G,West,50m,buffer.core,G-W-50-BC,,597,122,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,G,West,50m,buffer.core,GW 50 BC,10:57,na,na,30/05/2023,gone,roman,,,,
baseline,14/12/2018,KNDE,G,West,50m,OP.core,G-West-50m-OpCore,9.2,647,142,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,G,West,50m,OP.core,G-W-50-OPC,,565,130,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,G,West,50m,OP.core,GW 50 OPC,11:19,805,45,30/05/2023,,roman,,,,
baseline,14/12/2018,KNDE,G,West,50m,OP.edge,G-West-50m-OpEdge,9.15,361,89,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,G,West,50m,OP.edge,G-W-50-OPE,,na,na,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,G,West,50m,OP.edge,GW 50 OPE,11:05,566,120,30/05/2023,,roman,,,,
baseline,13/12/2018,KNDE,H,East,150m,buffer.core,H-East-150m-BufferCore,10.15,630,143,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,H,East,150m,buffer.core,H-E-150-BC,,315,62,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,H,East,150m,buffer.core,HE 150 BC,10:30,na,na,14/04/2023,gone,roman,,,,
baseline,13/12/2018,KNDE,H,East,150m,OP.core,H-East-150m-OpCore,10.41,na,na,28/12/2018,gone,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,H,East,150m,OP.core,H-E-150-OPC,,556,114,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,H,East,150m,OP.core,HE 150 OPC,10:44,na,na,14/04/2023,gone,roman,,,,
baseline,13/12/2018,KNDE,H,East,150m,OP.edge,H-East-150m-OpEdge,10.23,na,na,28/12/2018,gone,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,H,East,150m,OP.edge,H-E-150-OPE,,532,124,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,H,East,150m,OP.edge,HE 150 OPE,10:35,na,na,14/04/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,H,West,250m,buffer.core,H-West-250m-BufferCore,9.55,527,115,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,H,West,250m,buffer.core,H-W-250-BC,,537,137,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,H,West,250m,buffer.core,HW 250 BC,09:45,377,68,27/05/2023,,roman,,,,
baseline,10/12/2018,KNDE,H,West,250m,OP.core,H-West-250m-OpCore,10.09,570,141,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,H,West,250m,OP.core,H-W-250-OPC,,495,138,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,H,West,250m,OP.core,HW 250 OPC,09:58,206,60,27/05/2023,,roman,,,,
baseline,10/12/2018,KNDE,H,West,250m,OP.edge,H-West-250m-OpEdge,10.01,444,102,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,H,West,250m,OP.edge,H-W-250-OPE,,524,119,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,H,West,250m,OP.edge,HW 250 OPE,09:50,na,na,27/05/2023,gone,roman,,,,
baseline,08/12/2018,KNDE,H,East,350m,buffer.core,H-East-350m-BufferCore,10.34,na,na,21/12/2018,gone,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,H,East,350m,buffer.core,H-E-350-BC,,258,67,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,H,East,350m,buffer.core,HE 350 BC,08:42,na,na,30/05/2023,gone,roman,,,,
baseline,08/12/2018,KNDE,H,East,350m,OP.core,H-East-350m-OpCore,10.5,106,42,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,H,East,350m,OP.core,H-E-350-OPC,,256,92,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,H,East,350m,OP.core,HE 350 OPC,08:58,na,na,30/05/2023,gone,roman,,,,
baseline,08/12/2018,KNDE,H,East,350m,OP.edge,H-East-350m-OpEdge,10.41,na,na,21/12/2018,gone ,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,H,East,350m,OP.edge,H-E-350-OPE,,401,101,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,H,East,350m,OP.edge,HE 350 OPE,08:47,605,135,30/05/2023,,roman,,,,
baseline,14/12/2018,KNDE,H,East,400m,buffer.core,H-East-400m-BufferCore,10.37,668,118,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,H,West,400m,buffer.core,H-W-400-BC,,607,133,29/03/2021,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,14/12/2018,KNDE,H,East,400m,OP.core,H-East-400m-OpCore,10.5,655,118,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,H,West,400m,OP.core,H-W-400-OPC,,586,118,29/03/2021,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,14/12/2018,KNDE,H,East,400m,OP.edge,H-East-400m-OpEdge,10.42,665,123,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,H,West,400m,OP.edge,H-W-400-OPE,,544,118,29/03/2021,Evaporation control,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,H,East,40m,buffer.core,HE 400 BC,10:55,616,111,27/05/2023,,roman,,,,
post2,17/05/2023,KNDE,H,East,40m,OP.core,HE 400 OPC,11:14,592,107,27/05/2023,,roman,,,,
post2,17/05/2023,KNDE,H,East,40m,OP.edge,HE 400 OPE,10:59,629,116,27/05/2023,,roman,,,,
baseline,14/12/2018,KNDE,H,West,50m,buffer.core,H-West-50m-BufferCore,9.54,580,130,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,H,West,50m,buffer.core,H-W-50-BC,,560,120,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,H,West,50m,buffer.core,HW 50 BC,09:21,390,74,20/04/2023,,roman,,,,
baseline,14/12/2018,KNDE,H,West,50m,OP.core,H-West-50m-OpCore,10.09,602,112,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,H,East,50m,OP.core,H-E-50-OPC,,470,122,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,H,West,50m,OP.core,HW 50 OPC,09:36,na,na,20/04/2023,gone,roman,,,,
baseline,14/12/2018,KNDE,H,West,50m,OP.edge,H-West-50m-OpEdge,9.57,na,na,28/12/2018,gone,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,H,West,50m,OP.edge,H-W-50-OPE,,529,107,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,H,West,50m,OP.edge,HW 50 OPE,09:27,na,na,20/04/2023,gone,roman,,,,
baseline,08/12/2018,KNDE,I,East,150m,buffer.core,I-East-150m-BufferCore,11.1,660,117,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,I,East,150m,buffer.core,I-E-150-BC,,438,119,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,I,East,150m,buffer.core,IE 150 BC,08:50,250,86,20/04/2023,,roman,,,,
baseline,08/12/2018,KNDE,I,East,150m,OP.core,I-East-150m-OpCore,11.24,106,55,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,I,East,150m,OP.core,I-E-150-OPC,,428,135,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,I,East,150m,OP.core,IE 150 OPC,08:59,337,91,20/04/2023,,roman,,,,
baseline,08/12/2018,KNDE,I,East,150m,OP.edge,I-East-150m-OpEdge,11.15,512,85,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,10/03/2021,KNDE,I,East,150m,OP.edge,I-E-150-OPE,,504,135,19/03/2021,,Rohman,Novya,26/04/2022,,
post2,10/04/2023,KNDE,I,East,150m,OP.edge,IE 150 OPE,08:54,na,na,20/04/2023,gone,roman,,,,
baseline,13/12/2018,KNDE,I,West,250m,buffer.core,I-West-250m-BufferCore,10.52,199,48,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,I,West,250m,buffer.core,I-W-250-BC,,na,na,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,I,West,250m,buffer.core,IW 250 BC,09:20,422,105,30/05/2023,,roman,,,,
baseline,13/12/2018,KNDE,I,West,250m,OP.core,I-West-250m-OpCore,11.1,na,na,28/12/2018,gone,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,I,West,250m,OP.core,I-W-250-OPC,,na,na,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,I,West,250m,OP.core,IW 250 OPC,09:33,588,109,30/05/2023,,roman,,,,
baseline,13/12/2018,KNDE,I,West,250m,OP.edge,I-West-250m-OpEdge,11,244,53,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,25/03/2021,KNDE,I,West,250m,OP.edge,I-W-250-OPE,,564,112,01/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,I,West,250m,OP.edge,IW 250 OPE,09:25,na,na,30/05/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,I,East,350m,buffer.core,I-East-350m-BufferCore,9.2,518,104,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,I,East,350m,buffer.core,I-E-350-BC,,438,110,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,I,East,350m,buffer.core,IE 350 BC,11:10,na,na,14/04/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,I,East,350m,OP.core,I-East-350m-OpCore,9.4,670,130,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,I,East,350m,OP.core,I-E-350-OPC,,548,113,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,I,East,350m,OP.core,IE 350 OPC,11:27,na,na,14/04/2023,gone,roman,,,,
baseline,10/12/2018,KNDE,I,East,350m,OP.edge,I-East-350m-OpEdge,9.3,599,114,21/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,20/03/2021,KNDE,I,East,350m,OP.edge,I-E-350-OPE,,560,116,29/03/2021,,Rohman,Novya,26/04/2022,,
post2,06/04/2023,KNDE,I,East,350m,OP.edge,IE 350 OPE,11:16,540,134,14/04/2023,,roman,,,,
baseline,13/12/2018,KNDE,I,West,400m,buffer.core,I-West-400m-BufferCore,11.2,681,150,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
baseline,13/12/2018,KNDE,I,West,400m,OP.core,I-West-400m-OpCore,11.39,672,120,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
baseline,13/12/2018,KNDE,I,West,400m,OP.edge,I-West-400m-OpEdge,11.27,674,125,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post2,10/04/2023,KNDE,I,West,40m,buffer.core,IW 400 BC,11:12,620,125,20/04/2023,,roman,,,,
post2,10/04/2023,KNDE,I,West,40m,OP.core,IW 400 OPC,11:30,638,117,20/04/2023,,roman,,,,
post2,10/04/2023,KNDE,I,West,40m,OP.edge,IW 400 OPE,11:20,619,119,20/04/2023,,roman,,,,
baseline,14/12/2018,KNDE,I,West,50m,buffer.core,I-West-50m-BufferCore,10.15,424,122,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,I,West,50m,buffer.core,I-W-50-BC,,427,106,07/04/2021,,Rohman,Novya,26/04/2022,,
post1,01/04/2021,KNDE,I,East,50m,buffer.core,I-E-50-BC,,567,109,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,I,West,50m,buffer.core,IW 50 BC,10:21,303,80,27/05/2023,,roman,,,,
baseline,14/12/2018,KNDE,I,West,50m,OP.core,I-West-50m-OpCore,10.26,244,60,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,I,West,50m,OP.core,I-W-50-OPC,,443,117,07/04/2021,,Rohman,Novya,26/04/2022,,
post1,01/04/2021,KNDE,I,East,50m,OP.core,I-E-50-OPC,,537,121,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,I,West,50m,OP.core,IW 50 OPC,10:39,na,na,27/05/2023,gone,roman,,,,
baseline,14/12/2018,KNDE,I,West,50m,OP.edge,I-West-50m-OpEdge,10.2,489,93,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,I,West,50m,OP.edge,I-W-50-OPE,,375,115,07/04/2021,,Rohman,Novya,26/04/2022,,
post1,01/04/2021,KNDE,I,East,50m,OP.edge,I-E-50-OPE,,510,108,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,17/05/2023,KNDE,I,West,50m,OP.edge,IW 50 OPE,10:27,na,na,27/05/2023,gone,roman,,,,
