timepoint,date,river,treatment,transect,side,point,veg.plot,number,replicate,position,x.coord,y.coord,original.mm,measure.mm
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,1,Circle,7,5,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,1,Harvesting path,4,1,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,1,Windrow,20,14,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,2,Circle,17,19,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,2,Harvesting path,8,21,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,2,Windrow,15,23,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,3,Circle,9,22,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,3,Harvesting path,1,19,150,150
baseline,23/02/2019,KNDE,F,50,West,buffer.core,BC-1,20,3,Windrow,15,11,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,1,Circle,23,5,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,1,Harvesting path,3,8,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,1,Windrow,15,24,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,2,Circle,6,4,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,2,Harvesting path,18,7,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,2,Windrow,5,1,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,3,Circle,21,23,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,3,Harvesting path,2,1,150,150
baseline,23/02/2019,KNDE,F,250,West,buffer.core,BC-2,21,3,Windrow,2,16,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,1,Circle,19,10,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,1,Harvesting path,20,25,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,1,Windrow,8,2,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,2,Circle,1,1,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,2,Harvesting path,21,12,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,2,Windrow,15,15,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,3,Circle,24,21,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,3,Harvesting path,21,21,150,150
baseline,23/02/2019,KNDE,G,50,West,buffer.core,BC-1,22,3,Windrow,1,21,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,1,Circle,8,5,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,1,Harvesting path,21,1,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,1,Windrow,14,6,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,2,Circle,24,24,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,2,Harvesting path,21,14,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,2,Windrow,23,19,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,3,Circle,1,18,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,3,Harvesting path,6,21,150,150
baseline,23/02/2019,KNDE,F,250,West,OP.core,OPC-2,23,3,Windrow,1,14,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,1,Circle,15,15,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,1,Harvesting path,2,9,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,1,Windrow,12,6,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,2,Circle,6,5,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,2,Harvesting path,17,22,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,2,Windrow,23,16,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,3,Circle,20,22,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,3,Harvesting path,18,13,150,150
baseline,23/02/2019,KNDE,F,50,West,OP.core,OPC-1,24,3,Windrow,10,23,150,150
baseline,23/02/2019,KNDE,G,250,West,buffer.core,BC-2,25,1,Circle,24,2,150,150
baseline,23/02/2019,KNDE,G,250,West,buffer.core,BC-2,25,1,Harvesting path,21,2,150,150
baseline,23/02/2019,KNDE,G,250,West,buffer.core,BC-2,25,1,Windrow,6,22,150,150
baseline,23/02/2019,KNDE,G,250,West,buffer.core,BC-2,25,2,Circle,24,23,150,150
baseline,23/02/2019,KNDE,G,250,West,buffer.core,BC-2,25,2,Harvesting path,12,25,150,150
baseline,23/02/2019,KNDE,G,250,West,buffer.core,BC-2,25,2,Windrow,8,4,150,150
